election_date,election_type,contest_status,constituency_number,constituency_name,province,assembly,voter_reg,validated_votes,votes_disq,candidateID,candidate_name,candidate_party,candidate_votes,candidate_share,candidate_rank,outcome
10/6/93,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,248765,89906,1925,TD53GV5vU1,Syed Zafar Ali Shah,Pakistan Peoples Party Parliamentarians,40343,0.448724223,1,Win
10/6/93,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,248765,89906,1925,eozmdRpU0E,Haji Ghulam Ahmad Bilour,Awami National Party,35755,0.397693146,2,Loss
10/6/93,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,248765,89906,1925,tVgHhb8YQ1,Haji Dost Muhammad,Pakistan Islamic Front,9725,0.108168532,3,Loss
10/6/93,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,248765,89906,1925,ssDxSk8b0y,Ghulam Jafar,Independents,1943,0.021611461,4,Loss
10/6/93,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,248765,89906,1925,Uzj3OwHFcI,Zaboor Khan,Independents,834,0.009276355,5,Loss
10/6/93,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,248765,89906,1925,7AFMnPUxhd,M. Rafiq,Independents,447,0.004971859,6,Loss
10/6/93,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,248765,89906,1925,mExh64vfQB,Syed Javed Hassan Shah,Independents,408,0.004538073,7,Loss
10/6/93,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,248765,89906,1925,B5B1l5gZJR,Rifatullah,Independents,360,0.004004182,8,Loss
10/6/93,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,248765,89906,1925,XUtS94JmWx,Zakira Aslam,Haq Parast Group,91,0.001012168,9,Loss
10/6/93,General Election,Contested,NA-10,Karak,Khyber Paktunkhwa (NWFP),National,171858,59371,877,KNd4Ei382v,Molana Shaheed Ahmad,Jamiat Ulama-e-Islam (Sami),24519,0.412979401,1,Win
10/6/93,General Election,Contested,NA-10,Karak,Khyber Paktunkhwa (NWFP),National,171858,59371,877,fsKZwtC81u,Alhaj M. Aslam Khan Khattak,Pakistan Muslim League (Nawaz),19314,0.325310337,2,Loss
10/6/93,General Election,Contested,NA-10,Karak,Khyber Paktunkhwa (NWFP),National,171858,59371,877,fl6AaiKEhh,Afrasiab Khattak,Paktunkhwa Qaumi Party,12976,0.218557882,3,Loss
10/6/93,General Election,Contested,NA-10,Karak,Khyber Paktunkhwa (NWFP),National,171858,59371,877,tWCQ5YGWYO,Urner Hayat Khattak,Independents,1422,0.023951087,4,Loss
10/6/93,General Election,Contested,NA-10,Karak,Khyber Paktunkhwa (NWFP),National,171858,59371,877,HM2CxSkz1k,Jehan Nabi Khattak,Independents,564,0.009499587,5,Loss
10/6/93,General Election,Contested,NA-10,Karak,Khyber Paktunkhwa (NWFP),National,171858,59371,877,HN6rMrc1GP,Haji Adam Khan,Independents,347,0.005844604,6,Loss
10/6/93,General Election,Contested,NA-10,Karak,Khyber Paktunkhwa (NWFP),National,171858,59371,877,rE7rCDhTcR,Gul Shahzad Khattak,Independents,229,0.003857102,7,Loss
10/6/93,General Election,Contested,NA-100,Lahore 9,Punjab,National,166732,89509,856,DctJc2M1ud,Ch. Khalid Javed Ghurki,Pakistan Peoples Party Parliamentarians,38433,0.429375817,1,Win
10/6/93,General Election,Contested,NA-100,Lahore 9,Punjab,National,166732,89509,856,NRm5ZegeU9,Ch. M. Ashiq Dial,Pakistan Muslim League (Nawaz),38361,0.428571429,2,Loss
10/6/93,General Election,Contested,NA-100,Lahore 9,Punjab,National,166732,89509,856,xYHVZJ161F,Qazi Hussain Ahmad,Pakistan Islamic Front,11107,0.124088081,3,Loss
10/6/93,General Election,Contested,NA-100,Lahore 9,Punjab,National,166732,89509,856,vVOW8AUoyS,Mehboob Alam,Independents,823,0.009194606,4,Loss
10/6/93,General Election,Contested,NA-100,Lahore 9,Punjab,National,166732,89509,856,014qfaF5nO,M. Iqbal,Independents,427,0.00477047,5,Loss
10/6/93,General Election,Contested,NA-100,Lahore 9,Punjab,National,166732,89509,856,L3ZDM55jMI,Ijaz Ahmad Dial,Independents,276,0.003083489,6,Loss
10/6/93,General Election,Contested,NA-100,Lahore 9,Punjab,National,166732,89509,856,vHZyRUqXX6,Waheed Akhtar,Independents,82,0.000916109,7,Loss
10/6/93,General Election,Contested,NA-101,Sheikhupura 1,Punjab,National,272935,121988,1343,Grj4w3pYWf,Nisar Ahmad Pannu,Pakistan Peoples Party Parliamentarians,63049,0.516845919,1,Win
10/6/93,General Election,Contested,NA-101,Sheikhupura 1,Punjab,National,272935,121988,1343,nIMli9VfZx,Rana Tanveer Hussain,Pakistan Muslim League (Nawaz),51519,0.422328426,2,Loss
10/6/93,General Election,Contested,NA-101,Sheikhupura 1,Punjab,National,272935,121988,1343,h8KT99bqFY,Riaz Ahmad Yazdani,Pakistan Islamic Front,6054,0.049627832,3,Loss
10/6/93,General Election,Contested,NA-101,Sheikhupura 1,Punjab,National,272935,121988,1343,vpZsadpF8p,Ch. M. Anwar,Independents,868,0.007115454,4,Loss
10/6/93,General Election,Contested,NA-101,Sheikhupura 1,Punjab,National,272935,121988,1343,iJaH8y3gOt,Ch. M. Hanif,Independents,293,0.002401876,5,Loss
10/6/93,General Election,Contested,NA-101,Sheikhupura 1,Punjab,National,272935,121988,1343,cqqeTKFSWT,M. Gulfam Ashraf,Independents,205,0.001680493,6,Loss
10/6/93,General Election,Contested,NA-102,Sheikhupura 2,Punjab,National,272887,128321,1351,iC307elcKF,Haji Munawar Hussain Manj,Pakistan Peoples Party Parliamentarians,61465,0.478994085,1,Win
10/6/93,General Election,Contested,NA-102,Sheikhupura 2,Punjab,National,272887,128321,1351,mIeRsq19G9,Mehmood Akbar Khan,Pakistan Muslim League (Nawaz),56909,0.443489374,2,Loss
10/6/93,General Election,Contested,NA-102,Sheikhupura 2,Punjab,National,272887,128321,1351,v4t6DRoGRs,Ch. Nazir Ahmad Virk,Pakistan Islamic Front,7062,0.05503386,3,Loss
10/6/93,General Election,Contested,NA-102,Sheikhupura 2,Punjab,National,272887,128321,1351,EeNF03RYNI,M. Rashid Barfwala,Independents,1790,0.013949393,4,Loss
10/6/93,General Election,Contested,NA-102,Sheikhupura 2,Punjab,National,272887,128321,1351,BJst48O7UX,Hafiz M. Abbas,Jamiat Ulama-e-Islam (Sami),457,0.003561381,5,Loss
