year,assembly,seat_type,name,party,person_id,method,canonical
2002,12,reserved_women,Mrs. Mehnaz Raffi,PML-Q,,none,
2002,12,reserved_women,Dr. Hijra Tariq Aziz,PML-Q,,none,
2002,12,reserved_women,Tanzeela Aamir Cheema,PML-Q,,none,
2002,12,reserved_women,Dr. Donya Aziz,PML-Q,,none,
2002,12,reserved_women,Kashmala Tariq,PML-Q,,none,
2002,12,reserved_women,Dr. Saira Tariq,PML-Q,,none,
2002,12,reserved_women,Mr. Riffat Amjad,PML-Q,,none,
2002,12,reserved_women,Dr. Attiya Inayatullah,PML-Q,,none,
2002,12,reserved_women,Mr. Bushra Rahman,PML-Q,,none,
2002,12,reserved_women,Farzeen Ahmed Sarfaraz,PML-Q,,none,
2002,12,reserved_women,Shahzadi Umer Zadi Tiwana,PML-Q,,none,
2002,12,reserved_women,Rahila Yahya Munawar,PML-Q,,none,
2002,12,reserved_women,Prof. Aasiya Azeem,PML-Q,,none,
2002,12,reserved_women,Dr. Firdous Ashiq Awan,PML-Q,P06118,exact,Dr Firdous Ashiq Awan
2002,12,reserved_women,Begum Tehmina Dasti,PML-Q,P10774,exact,Tehmina Dasti
2002,12,reserved_women,Onaza Ehsan,PML-Q,,none,
2002,12,reserved_women,Bushra Anwar Sipra,PML-Q,,none,
2002,12,reserved_women,Dr. Rozina Tufail,PML-Q,,none,
2002,12,reserved_women,Mrs. Tahira Asif,PML-Q,P04500,exact,Begum Tahira Asif
2002,12,reserved_women,Naheed Khan,PPP,P02370,exact,Naheed Khan
2002,12,reserved_women,Mrs. Belum Hasnain,PPP,,none,
2002,12,reserved_women,Mrs. Shakeela Khanam Rashid,PPP,,none,
2002,12,reserved_women,Fauzia Habib,PPP,,none,
2002,12,reserved_women,Ms. Mehreen Anwar Raja,PPP,P09935,exact,MEHREEN ANWAR RAJA
2002,12,reserved_women,Mr. Yasmeen Rehman,PPP,,none,
2002,12,reserved_women,Begum Shahnaz Sheikh,PML-Q,,none,
2002,12,reserved_women,Rukhsana Bangash,PPP,,none,
2002,12,reserved_women,Mrs. Nasim Akhtar Chaudhry,PPP,,none,
2002,12,reserved_women,Mrs. Samia Raheel Qazi,MMA,,none,
2002,12,reserved_women,Maimona Hashmi,PML-N,,none,
2002,12,reserved_women,Begum I shrat Ashraf,PML-N,,none,
2002,12,reserved_women,Ms. Tehmina Daultana,PML-N,P00173,exact,Tehmina Daultana
2002,12,reserved_women,Begum Rehana Aleem Mashhadi,PML-J,,none,
2002,12,reserved_women,Mrs. Meena Ehsan Laghari,National Alliance,,none,
2002,12,reserved_women,Ayla Malik,National Alliance,,none,
2002,12,reserved_women,Faiza Junejo,PML-Q,,none,
2002,12,reserved_women,Sherry Rehman,PPP,,none,
2002,12,reserved_women,Mrs. Ruqia Khanum Soomro,PPP,,none,
2002,12,reserved_women,Fauzia Wahab,PPP,,none,
2002,12,reserved_women,Rubina Saddat Qaimkhani,PPP,,none,
2002,12,reserved_women,Raja,PPP,,none,
2002,12,reserved_women,Miss Shagufta Jumani,PPP,,none,
2002,12,reserved_women,Dr. Farida Ahmed,MMA,,none,
2002,12,reserved_women,Mrs. Aisha Munawar,MMA,,none,
2002,12,reserved_women,Shamim Akhtar,MQM,P09996,exact,SHAMIM AKHTAR
2002,12,reserved_women,Afsar Begum,MQM,,none,
2002,12,reserved_women,Shabina Talat,MQM,,none,
2002,12,reserved_women,Gul-e-Farkhanda,National Alliance,,none,
