year,na,constituency,province,district,name_raw,name_full,name_core,name_squash,name_distinct,party,party_raw,votes,share,rank,outcome,src,person_id
1977,NA-1,Peshawar,,peshawar,Muhammad Yousaf Khattak,muhammad yousaf khatak,muhammad yousaf khatak,muhammadyousafkhatak,yousafkhatak,PML(Qayyum),PML-Q,44905,,1,Win,ep1977,H0001
1977,NA-1,Peshawar,,peshawar,Air Marshal (R) Asghar Khan,air marshal r asghar khan,air marshal asghar khan,airmarshalasgharkhan,airmarshalasgharkhan,PNA,PNA,34040,,2,Loss,ep1977,H0002
1977,NA-1,Peshawar,,peshawar,Jan Akbar,jan akbar,jan akbar,janakbar,janakbar,IND,Independent,1374,,3,Loss,ep1977,H0003
1977,NA-10,Kohat,,kohat,Moulana Habib Gul,moulana habib gul,habib gul,habibgul,habibgul,PNA,PNA,29491,,1,Win,ep1977,H0028
1977,NA-10,Kohat,,kohat,Syed Hassan Jan,syed hassan jan,syed hassan jan,syedhassanjan,syedhassanjan,PPP,PPP,16329,,2,Loss,ep1977,H0029
1977,NA-10,Kohat,,kohat,Nawabzada Azmat Ali Khan,nawabzada azmat ali khan,nawabzada azmat ali khan,nawabzadaazmatalikhan,nawabzadaazmatalikhan,IND,Independent,13705,,3,Loss,ep1977,H0030
1977,NA-10,Kohat,,kohat,Gull Zaman,gull zaman,gull zaman,gullzaman,gullzaman,IND,Independent,1133,,4,Loss,ep1977,H0031
1977,NA-100,Gujranwala,,gujranwala,Ghulam Dastgir Khan,ghulam dastgir khan,ghulam dastgir khan,ghulamdastgirkhan,ghulamdastgirkhan,PNA,PNA,52223,,1,Win,ep1977,P01194
1977,NA-100,Gujranwala,,gujranwala,Habib Ur Rehman,habib ur rehman,habib ur rehman,habiburrehman,habiburrehman,PPP,PPP,48359,,2,Loss,ep1977,H0312
1977,NA-100,Gujranwala,,gujranwala,Abdul Ghafoor,abdul ghafoor,abdul ghafoor,abdulghafoor,abdulghafoor,JUI-H,JUI-H,924,,3,Loss,ep1977,H0313
1977,NA-100,Gujranwala,,gujranwala,Muhammad Sharif,muhammad sharif,muhammad sharif,muhammadsharif,sharif,IND,Independent,174,,4,Loss,ep1977,H0314
1977,NA-100,Gujranwala,,gujranwala,Muhammad Siddique,muhammad siddique,muhammad siddique,muhammadsiddique,siddique,IND,Independent,60,,5,Loss,ep1977,H0249
1977,NA-101,Gujranwala,,gujranwala,Mian   Azhar Hussain,mian azhar hussain,mian azhar hussain,mianazharhussain,azharhussain,PPP,PPP,67662,,1,Win,ep1977,H0315
1977,NA-101,Gujranwala,,gujranwala,Chaudhary   Zafar Ullah Khan,chaudhry zafar ullah khan,chaudhry zafar ullah khan,chaudhryzafarullahkhan,chaudhryzafarullahkhan,PNA,PNA,41236,,2,Loss,ep1977,H0316
1977,NA-101,Gujranwala,,gujranwala,Muhammad Din,muhammad din,muhammad din,muhammaddin,din,JUI-H,JUI-H,2804,,3,Loss,ep1977,H0317
1977,NA-101,Gujranwala,,gujranwala,Shabir   Ahmad,shabir ahmed,shabir ahmed,shabirahmed,shabirahmed,IND,Independent,2565,,4,Loss,ep1977,P02945
1977,NA-102,Gujranwala,,gujranwala,Malik Mahdi Hassan,malik mahdi hassan,malik mahdi hassan,malikmahdihassan,malikmahdihassan,PPP,PPP,61424,,1,Win,ep1977,H0318
1977,NA-102,Gujranwala,,gujranwala,Syed Khalil ur Rehman Chishti,syed khalil ur rehman chishti,syed khalil ur rehman chishti,syedkhalilurrehmanchishti,syedkhalilurrehmanchishti,PNA,PNA,55552,,2,Loss,ep1977,H0319
1977,NA-102,Gujranwala,,gujranwala,Saeed Ahmad Malhi,saeed ahmed malhi,saeed ahmed malhi,saeedahmedmalhi,saeedahmedmalhi,PML(Qayyum),PMLQ,2191,,3,Loss,ep1977,H0320
1977,NA-103,Gujranwala,,gujranwala,Mian   Shahadat Khan,mian shahadat khan,mian shahadat khan,mianshahadatkhan,shahadatkhan,PPP,PPP,72025,,1,Win,ep1977,H0321
1977,NA-103,Gujranwala,,gujranwala,Qazi   Asmat Ullah,qazi asmat ullah,qazi asmat ullah,qaziasmatullah,qaziasmatullah,PNA,PNA,48843,,2,Loss,ep1977,H0322
1977,NA-103,Gujranwala,,gujranwala,Chaudhary   Gulzar Ahmad,chaudhry gulzar ahmed,chaudhry gulzar ahmed,chaudhrygulzarahmed,chaudhrygulzarahmed,IND,Independent,1853,,3,Loss,ep1977,H0323
1977,NA-103,Gujranwala,,gujranwala,Mian   Muhammad Nawaz,mian muhammad nawaz,mian muhammad nawaz,mianmuhammadnawaz,nawaz,IND,Independent,1741,,4,Loss,ep1977,H0324
1977,NA-103,Gujranwala,,gujranwala,Altaf   Hussain,altaf hussain,altaf hussain,altafhussain,altafhussain,IND,Independent,787,,5,Loss,ep1977,H0325
