pid,existing,hist_name,hist_years,hist_dists,exist_years,exist_dists,evidence
P00780,Arbab M. Jehangir Khan,Arbab Muhammad Jahangir Khan,1977|1988|1990,peshawar,1993|1997,peshawar,di+d
P02523,Sarfaraz Khan,Sarfraz Khan,1977|1985|1988,faisalabad|mardan,1997|2002|2013,abbottabad|mardan,sq+dL11
P01168,M. Azam Khan,Muhammad Azam Khan,1977|1985|1988|1990,abbottabad|karachi west|mardan|sialkot,1993|1997|2024,mardan,sq+dL8
P06941,Nisar Ahmad,Moulana Nisar Ahmad,1977|1988|1990,abbottabad|dadu|di khan|larkana|sukkar|vehari,2013,vehari,sq+d+rare di10 GAP23
P00261,Shaukat Ali Khan,Shaukat Ali Khan,1977|1985,mansehra,1993,mansehra,sq+dL14
P00443,Molana Abdul Baqi,Moulana Abdul Baqi,1977|1990,kohistan|mansehra kohistan|quetta,1993|1997,kohistan,sq+dL9
P01113,Khanzada Khan,Khanzada Khan,1977|1985|1990,mansehra kohistan|mardan|trial area,1993|2008|2013,mardan,sq+dL12
P08216,Abdul Samad Khan,Abdul Samad Khan,1977|1990,bannu,2013|2018,bannu,sq+d+rare di14 GAP23
P05563,Shamsulhaq,Shams ul Haq,1977|1988,ta,2008,ta,sq+d di10 GAP20
P02329,M. Hashim Khan,Muhammad Hashim Khan,1977|1990,karachi east|ta,1997|2013|2024,islamabad|ta|ta khyber agency,di+d
P09826,Sher Bahadur Khan,Sher   Bahadur Khan,1977|1990,sahiwal|ta,2018,ta,sq+d+rare di15 GAP28
P02557,Nasrullah Khan,Nasrullah   Khan,1977|1988|1990,gujranwala|peshawar|rawalpindi|swat|ta,1997,gujranwala,sq+dL13
P01001,Col. (R) Habib Khan,Colonel (R) Habib Khan,1977|1988,rawalpindi,1993,rawalpindi,sq+dL9
P01006,Raja Abdul Aziz Bhatti,Raja Abdul Aziz Bhatti,1977|1990,rawalpindi,1993,rawalpindi,sq+dL19
P01008,Malik Mehboob Hussain,Malik   Mehboob Hussain,1977|1985,rawalpindi,1993,rawalpindi,sq+dL19
P01045,Dr. Ghulam Hussain,Doctor Ghulam Hussain,1977|1988|1990,jhelum,1993|2002,jhelum,sq+dL13
P07236,Mushtaq Ahmad,Mushtaq Ahmad,1977|1990,jhelum|karachi south|multan|sahiwal|sheikhupura,2013|2018|2024,faisalabad|gujranwala|jhelum|karachi central|karachi east|rahimyar khan,sq+d+rare di12 GAP23
P02391,Raja Munawar Ahmad,Raja Munawar Ahmad,1977|1985|1988,chakwal|jhelum,1997,chakwal,sq+dL16
P01227,Ch. Shujaat Hussain,Chaudhary   Shujat Hussain,1977|1985|1988|1990,gujrat,1993|1997|2002|2008,bhakkar|gujrat,sq+dL22
P01222,Ch. Ghulam Rasool,Chaudhary Ghulam Rasool,1977|1988,gujrat,1993|2002,bahawalnagar|gujranwala cum hafizabad,sqL20
P00490,Ghulam Rasool,Ghulam   Rasool,1977|1985|1988|1990,gujrat|karachi west|nawabshah|okara|sanghar,1993|1997|2013|2024,hyderabad|karachi west|mirpurkhas|naushahro feroze|old larkana|qambar shahdadkot,sq+dL12
P02434,Syed Nusrat Ali Shah,Syed Nusrat Ali Shah,1977|1985|1988|1990,sargodha,1997|2013,sargodha,sq+dL17
P01083,Molana M. Abdul Sattar Khan Niazi,Moulana Abdul Sattar Khan Niazi,1977|1988|1990,mianwali|mianwali full,1993,mianwali,sq+dL20
P01152,Molana Haji M. Rehmatullah,Moulana Rehmat Ullah,1977|1985|1988|1990,jhang|nawabshah|sukkur,1993|1997|2002|2008|2018,jhang|kharan cum panjgur|loralai cum musa khail cum ziarat cum dukki cum harnai|nasirabad cum kachhi cum jhal magsi|peshawar|turbat cum panjgur,sq+dL11
P01134,Mian Zahid Sarfraz,Mian   Zahid Sarfraz,1977|1985|1988|1990,faisalabad|lyallpur faisalabad,1993|1997|2002,faisalabad,sq+dL16
P01109,Khan Shahadat Ali Khan Baloch,Khan Shahdat Ali Khan Baloch,1977|1988|1990,faisalabad|faisalabad lyallpur,1993|1997|2013,faisalabad,sq+dL25
