cluster_id,family_tokens,districts,n_members,n_winners,total_wins,span,members,member_ids
F0062,afzal|rasool|sahi|afzaal,bahawalnagar|bhakkar|faisalabad|gujranwala|gujranwala cum hafizabad|islamabad|jh,34,8,11,1993-2024,"Malik Muhammad Afzal Khokhar (3W/4C, PMLN|PPP); Lt. Col. (R) Ghulam Rasool Sahi (2W/2C, PMLN|PMLQ); Rana Muhammad Afzal Khan (1W/4C, IND|PMLN); Haji M. Nawaz Khokhar (1W/1C, PMLN); MUHAMMAD AFZAL (1W/10C, IND|JI|JUIF|MMA|MQM|PMLN|PPP|Pakistan Tehreek-e-Insaf Nazriati); Rana Afzaal Hussain (1W/6C, IND|PMLN); Muhammad Afzal Khan (1W/2C, PMLN|PTI); Ali Afzal Sahi (1W/1C, IND); Ghulam Rasool (0W/6C, IND|JWP|MMA|PPP|TLP); Ch. Ghulam Rasool (0W/2C, IND|PML-Z); Mohammad Akram Sahi (0W/1C, IND); Ch. Shafqat Rasool Ghuman (0W/1C, IND); Syed Ghulam Rasool Shah (0W/2C, IND); Waseem Afzal (0W/1C, IND)",P00239|P00495|P00989|P01094|P01222|P01304|P02898|P02936|P03215|P04081|P04214|P04517|P04575|P05823|P05842|P06302|P06377|P06447|P06489|P09102|P09126|P09127|P09201|P10105|P10226|P10274|P10435|P10474|P12704|P12850|P12896|P12901|P12941|P12947
F0047,leghari,dg khan|dg khan cum rajanpur|rajanpur|sahiwal,11,4,11,1993-2024,"Sardar M. Jafar Khan Leghari (5W/5C, IND|NA(alliance)|PMLN|PMLQ|PTI); Sardar Farooq Ahmad Khan Leghari (4W/5C, IND|NA(alliance)|PMLQ|PPP); Sirdar Muhammad Khan Laghari (1W/7C, IND|PTI); Ammar Ahmad Khan Leghari (1W/1C, PMLN); Sardar Owais Ahmad Khan Leghari (0W/1C, IND); ALI AHMAD KHAN LEGHARI (0W/1C, IND); Sardar Mansoor Ahmad Khan Leghari (0W/1C, IND); Sardar M. Yusuf Khan Leghari (0W/1C, IND); MUHAMMAD MOHSIN LEGHARI (0W/1C, IND); Meena Ihsan Leghari (0W/1C, IND); Sardar Imtiaz Ahmad Khan Leghari (0W/1C, PMLN)",P00187|P01508|P01509|P01511|P01512|P01513|P03121|P04751|P10848|P10850|P13860
F0051,siddiqi|siddiqui|siddiq|noorani,hyderabad|karachi|karachi central|karachi east|karachi south|karachi west|muzaff,29,4,8,1993-2024,"Dr. Khalid Maqbool Siddiqi (4W/4C, MQM); Haleem Ahmad Siddiqi (2W/5C, IND|PMLN); M. Abbdul Rauf Siddiqi (1W/1C, MQM); M. Shamim Siddiqi (1W/2C, IND|MQM); Zafar Ahmed Siddiqui (0W/2C, PPP); Muhammad Irshad Siddiqui (0W/1C, IND); Molana Shah Ahmad Noorani (0W/1C, IND); Syed Nawaz ul Huda (0W/1C, TLP); Muhammad Adil Siddiqui (0W/1C, PSP); Dr Mairaj Ul Huda Siddiqui (0W/1C, JI); Muhammad Abdul Rauf Siddiqui (0W/3C, MQM); M. Javed Siddiqi (0W/1C, IND); Ata ul Mustafa Jamil Rathore (0W/3C, IND); Javed Siddiqui (0W/1C, IND)",P00193|P00593|P00608|P00657|P00668|P00702|P01520|P01724|P01728|P01874|P01877|P01920|P03416|P03430|P03587|P03601|P03665|P03723|P03750|P03755|P05236|P08007|P11023|P11142|P11283|P11402|P11429|P11437|P14606
F0026,noon|kanju|kanjoo|ajmal,lodhran|multan cum lodhran,14,4,6,1993-2024,"Abdul Rehman Khan Kanju (3W/3C, IND|PMLN); M. Akhtar Khan Kanjoo (1W/5C, IND|PMLN|PMLQ|PTI); Rana Mumtaz Ahmad Noon (1W/2C, PPP); M. Siddiq Khan Kanju (1W/2C, PMLN); Khurshid Ahmad Khan Kanju (0W/1C, JI); Rana Muhammad Faraz Noon (0W/2C, IND|PPP); Rana Muhammad Jahangir Noon (0W/1C, IND); Muhammad Ajmal Khan Kanjoo (0W/1C, PMLQ); Rana M. Ajmal Noon (0W/1C, PMLN); RANA MOIN FAREED NOON (0W/1C, TLP); Rana Rab Nawaz Noon (0W/1C, PPP); Rana Riaz Ahmad Noon (0W/1C, IND); Muhammad Ajmal Kanju (0W/1C, IND); Rana Muhammad Afzal Noon (0W/1C, IND)",P00118|P00119|P00120|P01440|P03034|P03035|P03036|P04671|P04672|P06782|P06783|P10649|P13544|P13548
F0220,chattha|chatha|fayyaz|hayat,faisalabad|gujranwala|gujrat|rahim yar khan|rahimyar khan|wazirabad,18,4,5,1993-2024,"Sheikh Fayyaz Ud Din (2W/3C, PMLN); Ch. Hamid Nasir Chatha (1W/2C, PML-H|PMLJ); Muhammad Ahmad Chattha (1W/2C, IND|PTI); Hamid Nasir Chattha (1W/2C, PML-H); Saif Ali Chatha (0W/1C, PMLN); Hamid Nasir Chatha (0W/1C, PMLQ); FAYYAZ AHMED (0W/2C, AAT|IND); Munawar Fayyaz Sunny (0W/3C, IND); CH  ADIL BUKSH CHATTHA (0W/2C, IND); Shaukat Hayat Chattha (0W/1C, IND); Muhammad Fayyaz (0W/3C, IND|TLP); Ch Sajid Hussain Chatha (0W/1C, PMLQ); Ahmad Hassan Chattha (0W/1C, IND); Nauman Ullah Khan Chatha (0W/1C, IND)",P01184|P01185|P02560|P02722|P02726|P04387|P04389|P05985|P05997|P07217|P09204|P09354|P10085|P10086|P10088|P10303|P12496|P12863
F0059,cheema,bahawalpur|gujranwala,5,4,4,1993-2024,"Tariq Bashir Cheema (1W/2C, PMLQ|PPP); Chaudhary Tariq Bashir Cheema (1W/4C, IND|PML|PMLQ); Justice Iftikhar Ahmad Cheema (1W/2C, PMLN|PPP); Tariq Basheer Cheema (1W/1C, PMLQ); Wali Daad Cheema (0W/1C, IND)",P00226|P04386|P07144|P07151|P13638
F0117,qaimkhani|talpur|yousif,dadu|korangi karachi|mirpur khas|mirpurkhas cum umerkot|old mirpurkhas|umerkot,17,3,10,1993-2024,"Nawab Muhammad Yousif Talpur (6W/7C, PPP); Nawab Abdul Ghani Talpur (2W/4C, IND|PPP); Mir Munwar Ali Talpur (2W/2C, PPP); Jawaid Iqbal Qaimkhani (0W/1C, IND); Mir Behram Ali Talpur (0W/1C, IND); Mir Mehboob Ali Talpur (0W/1C, IND); Mir Ghazanfar Ali Talpur (0W/1C, IND); Mir Jan M. Khan Talpur (0W/1C, IND); Ali Hassan Khan Qaimkhani (0W/1C, PAT); Asif Raza Qaimkhani (0W/1C, IND); Muhammad Yousif Qaimkhani (0W/2C, IND); Zahid Ali Khan Qaimkhani (0W/1C, MQM-H); Shabbir Ahmed Qaimkhani (0W/6C, IND|MQM); Mir Amanullah Khan Talpur (0W/1C, PMLN)",P00489|P00493|P00496|P00501|P01775|P01790|P03481|P03487|P03488|P05111|P05112|P07793|P11073|P11074|P14066|P14074|P14081
F0115,jillani,mirpur khas|mirpurkhas cum umerkot|old mirpurkhas|tharparkar,9,3,9,1993-2024,"Pir Aftab Hussain Shah Gilani (5W/6C, IND|PPP); Pir Noor M. Shah Jilani (3W/4C, PMLF|PMLN|PPP); Pir Shafqat Hussain Shah Jilani (1W/2C, IND|PPP); Pir Ghous Ali Shah Jillani (0W/1C, IND); Pir Ghulam Dastgeer Shah Jeelani (0W/2C, IND); Pir Hassan Ali Shah Jillani (0W/1C, IND); Pir Imdad Ali Shah Jilani (0W/2C, IND|PPP); Pir Aftab Ali Shah Jeelani (0W/1C, IND); Pir Shan Ali Shah Jillani (0W/1C, IND)",P00482|P01781|P03505|P05094|P05098|P05099|P05122|P07805|P14086
F0028,dogar|hashmi|javaid|ikhlas,lahore|multan|multan cum khanewal|rawalpindi,20,3,7,1993-2024,"Makhdoom Muhammad Javed Hashmi (5W/11C, IND|PMLN); Raja Muhammad Javed Ikhlas (1W/3C, PMLN); Makhdoom Javaid Hussain Hashmi (1W/1C, PTI); Malik Muhammad Ahmad Akmel Dogar (0W/1C, IND); Admir R Javaid Iqbal (0W/1C, Pakistan Falah Party); Syed Asif Akhter Hashmi (0W/1C, PPP); Raja Qasim Javaid Ikhlas (0W/1C, PMLQ); Nasir Javaid Dogar (0W/1C, IND); Muhammad Irshad Dogar (0W/1C, IND); Faraz Hashmi (0W/2C, IND|PPP); Mubarak Shah Hashmi (0W/1C, IND); Syed Mehr Mohi Ud Din Hashmi (0W/1C, PMLF); Muhammad Imran Javaid (0W/1C, ST); Syed Asif Hashmi (0W/1C, PPP)",P00131|P04110|P04450|P05714|P06186|P06280|P06307|P06429|P06674|P06676|P06726|P08856|P10434|P10454|P10455|P10462|P13145|P13227|P13278|P13281
F0030,hiraj|yar|hayat,khanewal,8,3,7,1993-2024,"Muhammad Raza Hayat Hiraj (4W/5C, IND|PMLQ|PPP|PTI); Hamid Yar Hiraj (2W/4C, IND|PMLQ); Haji M. Iqbal Hiraj (1W/1C, PPP); Sardar Allah Yar (0W/1C, PPP); Mehar Allah Bakhsh Hiraj, Adv. (0W/1C, PAT); Mehar Khizar Hayat Hiraj (0W/1C, National Peoples Party); Sardar Allah Yar Hiraj (0W/1C, PPP); Ahmad Yar Hiraj (0W/1C, PTI)",P00134|P00137|P00141|P01458|P03038|P03042|P03046|P10592
