person_id,canonical_name,n_candidacies,n_wins,n_win_years,win_years,years,parties,districts,provinces
P00000,Syed Zafar Ali Shah,13,4,3,1993|1997|2008,1993|1997|2002|2008|2013|2018|2024,IND|PMLN|PPP|PPP-SB,dadu|islamabad|naushero feroz|naushero feroze|nawabshah|peshawar|rawalpindi,Islamabad|Islamabad and FATA|Khyber Paktunkhwa (NWFP)|Punjab|Sindh
P00001,Haji Ghulam Ahmed Bilour,5,1,1,2008,1993|2008|2013|2018|2024,ANP,peshawar,Khyber Pakhtunkhwa|Khyber Paktunkhwa|Khyber Paktunkhwa (NWFP)
P00002,Haji Dost Muhammad,1,0,0,,1993,JI,peshawar,Khyber Paktunkhwa (NWFP)
P00003,Ghulam Jafar,1,0,0,,1993,IND,peshawar,Khyber Paktunkhwa (NWFP)
P00004,Zaboor Khan,1,0,0,,1993,IND,peshawar,Khyber Paktunkhwa (NWFP)
P00005,M. Rafiq,1,0,0,,1993,IND,peshawar,Khyber Paktunkhwa (NWFP)
P00006,Syed Javed Hassan Shah,1,0,0,,1993,IND,peshawar,Khyber Paktunkhwa (NWFP)
P00007,Rifatullah,1,0,0,,1993,IND,peshawar,Khyber Paktunkhwa (NWFP)
P00008,Zakira Aslam,1,0,0,,1993,MQM,peshawar,Khyber Paktunkhwa (NWFP)
P00009,Molana Shaheed Ahmad,1,1,1,1993,1993,JUIS,karak,Khyber Paktunkhwa (NWFP)
P00010,Alhaj M. Aslam Khan Khattak,2,0,0,,1993|1997,IND|PMLN,karak,Khyber Paktunkhwa (NWFP)
P00011,Afrasiab Khattak,1,0,0,,1993,Paktunkhwa Qaumi Party,karak,Khyber Paktunkhwa (NWFP)
P00012,Urner Hayat Khattak,1,0,0,,1993,IND,karak,Khyber Paktunkhwa (NWFP)
P00013,Jehan Nabi Khattak,1,0,0,,1993,IND,karak,Khyber Paktunkhwa (NWFP)
P00014,Haji Adam Khan,1,0,0,,1993,IND,karak,Khyber Paktunkhwa (NWFP)
P00015,Gul Shahzad Khattak,1,0,0,,1993,IND,karak,Khyber Paktunkhwa (NWFP)
P00016,Ch. Khalid Javed Ghurki,2,1,1,1993,1993|1997,PPP,lahore,Punjab
P00017,Ch. M. Ashiq Diyal,3,1,1,1997,1993|1997|2008,IND|PMLN|PMLQ,lahore,Punjab
P00018,Qazi Hussain Ahmad,4,2,1,2002,1993|2002,JI|MMA,karachi south|lahore|lower dir|nowshera,Khyber Paktunkhwa (NWFP)|Punjab|Sindh
P00019,Mehboob Alam,2,0,0,,1993|2024,IND,faisalabad|lahore,Punjab
P00020,M. Iqbal,2,0,0,,1993,IND,lahore,Punjab
P00021,Ijaz Ahmad Dial,3,0,0,,1993|1997|2002,IND|PMLQ,lahore,Punjab
P00022,Waheed Akhtar,2,0,0,,1993,IND,lahore,Punjab
P00023,Nisar Ahmad Pannu,1,1,1,1993,1993,PPP,sheikhupura,Punjab
