na,constituency_name,province,districts
NA-1,Chitral Upper-cum-Chitral Lower,Khyber Pakhtunkhwa,Upper Chitral;Lower Chitral
NA-2,Swat-I,Khyber Pakhtunkhwa,Swat
NA-3,Swat-II,Khyber Pakhtunkhwa,Swat
NA-4,Swat-III,Khyber Pakhtunkhwa,Swat
NA-5,Upper Dir,Khyber Pakhtunkhwa,Upper Dir
NA-6,Lower Dir-I,Khyber Pakhtunkhwa,Lower Dir
NA-7,Lower Dir-II,Khyber Pakhtunkhwa,Lower Dir
NA-8,Bajaur,Khyber Pakhtunkhwa,Bajaur
NA-9,Malakand,Khyber Pakhtunkhwa,Malakand
NA-10,Buner,Khyber Pakhtunkhwa,Buner
NA-11,Shangla,Khyber Pakhtunkhwa,Shangla
NA-12,Kohistan-cum-Lower Kohistan-cum-Kolai Palas Kohistan,Khyber Pakhtunkhwa,Upper Kohistan;Lower Kohistan;Kolai Palas Kohistan
NA-13,Battagram,Khyber Pakhtunkhwa,Battagram
NA-14,Mansehra,Khyber Pakhtunkhwa,Mansehra
NA-15,Mansehra-cum-Torghar,Khyber Pakhtunkhwa,Mansehra;Torghar
NA-16,Abbottabad-I,Khyber Pakhtunkhwa,Abbottabad
NA-17,Abbottabad-II,Khyber Pakhtunkhwa,Abbottabad
NA-18,Haripur,Khyber Pakhtunkhwa,Haripur
NA-19,Swabi-I,Khyber Pakhtunkhwa,Swabi
NA-20,Swabi-II,Khyber Pakhtunkhwa,Swabi
NA-21,Mardan-I,Khyber Pakhtunkhwa,Mardan
NA-22,Mardan-II,Khyber Pakhtunkhwa,Mardan
NA-23,Mardan-III,Khyber Pakhtunkhwa,Mardan
NA-24,Charsadda-I,Khyber Pakhtunkhwa,Charsadda
NA-25,Charsadda-II,Khyber Pakhtunkhwa,Charsadda
NA-26,Mohmand,Khyber Pakhtunkhwa,Mohmand
NA-27,Khyber,Khyber Pakhtunkhwa,Khyber
NA-28,Peshawar-I,Khyber Pakhtunkhwa,Peshawar
NA-29,Peshawar-II,Khyber Pakhtunkhwa,Peshawar
NA-30,Peshawar-III,Khyber Pakhtunkhwa,Peshawar
NA-31,Peshawar-IV,Khyber Pakhtunkhwa,Peshawar
NA-32,Peshawar-V,Khyber Pakhtunkhwa,Peshawar
NA-33,Nowshera-I,Khyber Pakhtunkhwa,Nowshera
NA-34,Nowshera-II,Khyber Pakhtunkhwa,Nowshera
NA-35,Kohat,Khyber Pakhtunkhwa,Kohat
NA-36,Hangu-cum-Orakzai,Khyber Pakhtunkhwa,Hangu;Orakzai
NA-37,Kurram,Khyber Pakhtunkhwa,Kurram
NA-38,Karak,Khyber Pakhtunkhwa,Karak
NA-39,Bannu,Khyber Pakhtunkhwa,Bannu
NA-40,North Waziristan,Khyber Pakhtunkhwa,North Waziristan
NA-41,Lakki Marwat,Khyber Pakhtunkhwa,Lakki Marwat
NA-42,South Waziristan Upper-cum-South Waziristan Lower,Khyber Pakhtunkhwa,Upper South Waziristan;Lower South Waziristan
NA-43,Tank-cum-Dera Ismail Khan,Khyber Pakhtunkhwa,Tank;Dera Ismail Khan
NA-44,Dera Ismail Khan-I,Khyber Pakhtunkhwa,Dera Ismail Khan
NA-45,Dera Ismail Khan-II,Khyber Pakhtunkhwa,Dera Ismail Khan
NA-46,Islamabad-I,Islamabad Capital Territory,Islamabad
NA-47,Islamabad-II,Islamabad Capital Territory,Islamabad
NA-48,Islamabad-III,Islamabad Capital Territory,Islamabad
NA-49,Attock-I,Punjab,Attock
