na,candidate_name,party,votes,rank
NA-1,Aftab Ahmad Khan Sherpao,PPP,44658,1
NA-1,Ghulam Ahmad Bilour,ANP,35947,2
NA-1,Muhammad Rafiq,Independent,2335,3
NA-1,Said Anwar,Independent,1826,4
NA-2,Khan Bahadar Khan,PPP,24444,1
NA-2,Arbab Saif-ur-Rehman,ANP,19402,2
NA-2,Rafiq Ahmad Khalil,Independent,10377,3
NA-2,Salim Jan Khalil,JUI,1080,4
NA-2,Muhammad Fayyaz Khalil,ANP-A,1018,5
NA-2,Arbab Muhammad Jehangir Khalil,IJI,840,6
NA-3,Sardar Ali Khan,PPP,28408,1
NA-3,Abdul Latif,ANP,24727,2
NA-3,Pirzada Nahi Amin,IJI,23798,3
NA-3,Haji Noor Muhammad,Independent,614,4
NA-3,Arbab Muhammad Zahir (Retired),Independent,385,5
NA-3,Nisar Khan (Retired),Independent,244,6
NA-4,Main Muzaffar Shah,PPP,27902,1
NA-4,Ahrar Khattak,ANP,27817,2
NA-4,Maulana Anwar ul Haq,IJI,16439,3
NA-4,Inayatullah Khan,PAI,458,4
NA-4,Dil Aram Khan,Independent,375,5
NA-4,Nasrullah Khan,Independent,127,6
NA-5,Khan Abdul Wali Khan,ANP,63195,1
NA-5,Ihsanullah Khan,IJI,34431,2
NA-5,Muhammad Nisar,Independent,2253,3
NA-5,Tariq Mehmood,Independent,2134,4
NA-6,Haji Muhammad Yaqoob,PPP,46091,1
NA-6,Muhammad Azam Khan,ANP,32138,2
NA-7,Haji Muhamamd Ahmad,JUI-F,23542,1
NA-7,Haji Sarfraz Khan,PPP,22594,2
NA-7,Moulana Gohar Rehmad,IJI,13519,3
NA-7,Haji Muhamamd Yousif Khan,ANP,13180,4
NA-7,Misal Khan,Independent,4361,5
NA-7,Muhammad Azhar Khan,PKMP,2946,6
NA-7,Haji Abdur Rehman,Independent,1197,7
NA-8,Abdul Khaliq Khan,ANP,40257,1
NA-8,Moulvi Hamadullah,IJI,36959,2
NA-8,Abdul Mastan,PPP,33604,3
NA-8,Doctor Iftikhar Ahmad,Independent,2294,4
NA-8,Arshad Ali Advocate,Independent,1834,5
NA-9,Moulvi Niamatullah,IJI,30554,1
NA-9,Syed Iftikhar Hussain Gillani,PPP,19049,2
NA-9,Feroz Khan,Independent,14473,3
NA-9,Farooq Shah,ANP,10952,4
NA-9,Syed Muhamamd Saqlain,Independent,6232,5
NA-9,Khalil-ur-Rehman ( Retired ),Independent,1216,6
NA-9,Kazim Ali,Independent,367,7
NA-9,Sardar Khan,Independent,351,8
NA-9,Amjad Ali Khan ( Retired ),Independent,158,9
NA-10,Maulana Shaheed Ahmad,JUI-D,26411,1
NA-10,Muhammad Aslam Khan Khattak,IJI,19767,2
NA-10,Muhammad Farooq,ANP,4299,3
NA-10,Raza Kuli Khan,PAI,670,4
NA-10,Bakhat Bibi,Independent,644,5
NA-10,Sabir Badshah,Independent,181,6
NA-10,Muhammad Yousif Khattak,Independent,111,7
NA-11,Farid Jadoon,Independent,35805,1
NA-11,Malik Abdur Rauf,IJI,21236,2
NA-11,Syed Sultan Ali,PPP,13845,3
NA-11,Air Marshal (R) Muhammad Asghar Khan,PAI,10891,4
NA-11,Syed Amir Ali Shah,Independent,4225,5
NA-11,Jamal Khan Abbasi,Independent,1932,6
NA-11,Nawab Khan Jadoon,Independent,870,7
NA-12,Sardar Haji Gul Khattab Khan,IJI,31655,1
NA-12,Haji Javid Iqbal Abbasi,Independent,24629,2
