na,constituency_name,province,winner_name,winner_party,winner_votes,runnerup_name,runnerup_party,runnerup_votes,registered_voters,votes_polled,turnout_pct
NA-1,Peshawar I,,Aftab Ahmad Khan Sherpao,PPP,44658,Ghulam Ahmad Bilour,ANP,35947,,,
NA-2,Peshawar II,,Khan Bahadar Khan,PPP,24444,Arbab Saif-ur-Rehman,ANP,19402,,,
NA-3,Peshawar III,,Sardar Ali Khan,PPP,28408,Abdul Latif,ANP,24727,,,
NA-4,Peshawar IV,,Main Muzaffar Shah,PPP,27902,Ahrar Khattak,ANP,27817,,,
NA-5,Charsadda,,Khan Abdul Wali Khan,ANP,63195,Ihsanullah Khan,IJI,34431,,,
NA-6,Mardan I,,Haji Muhammad Yaqoob,PPP,46091,Muhammad Azam Khan,ANP,32138,,,
NA-7,Mardan II,,Haji Muhamamd Ahmad,JUI-F,23542,Haji Sarfraz Khan,PPP,22594,,,
NA-8,Swabi,,Abdul Khaliq Khan,ANP,40257,Moulvi Hamadullah,IJI,36959,,,
NA-9,Kohat,,Moulvi Niamatullah,IJI,30554,Syed Iftikhar Hussain Gillani,PPP,19049,,,
NA-10,Karak,,Maulana Shaheed Ahmad,JUI-D,26411,Muhammad Aslam Khan Khattak,IJI,19767,,,
NA-11,Abbottabad I,,Farid Jadoon,Independent,35805,Malik Abdur Rauf,IJI,21236,,,
NA-12,Abbottabad II,,Sardar Haji Gul Khattab Khan,IJI,31655,Haji Javid Iqbal Abbasi,Independent,24629,,,
NA-13,Abbottabad III Complete,,Raja Sikandar Zaman Khan,IJI,60128,Begum Bilqis Nasrun Minallah,PPP,25066,,,
NA-14,Mansehra Complete,,Syed Qasim Shah,Independent,34363,Syed Muzammil Shah,Independent,26642,,,
NA-15,Mansehra II,,Nawabzada Salah-ud-din Saeed Khan,Independent,20868,Zaria Gull,Independent,14575,,,
NA-16,Mansehra,,Haji Muhammad Ayub Khan,IJI,11294,Alamzab Khan,JUI-F,10890,,,
NA-17,Kohistan,,Fazl-e-Haq,IJI,5525,Muhammad Siraj,ANP,3814,,,
NA-18,D.I Khan,,Moulana Fazal-ur-Rehman,JUI-F,62472,Fazal Karim Khan Kundi,IJI,35370,,,
NA-19,Bannu I,,Maulvi Ali Akbar,JUI-F,19094,Pir Syed Tahir Ali Shah,IJI,12634,,,
NA-20,Bannu II,,Anwar Saifullah,IJI,37572,Moulvi Ahmad Jan,JUI-F,29779,,,
