na,constituency_name,ps_total,reg_male,reg_female,reg_total,polled_male,polled_female,polled_total,valid_votes,rejected_votes,turnout_pct,winner_name,winner_party,winner_votes,runnerup_name,runnerup_party,runnerup_votes,n_candidates,form_date,flags
NA-3,Swat-II,309,251356,211325,462681,127255,39773,167028,162062,4966,36.1,Saleem Rehman,Independent,81411,Wajid Ali Khan,PML-N,27861,8,2024-02-09,
NA-5,Upper Dir,421,327153,263280,590433,132617,80611,213228,204209,9019,36.11,Sahibzada Sibghatullah,Independent,90865,Najmuddin Khan,PPPP,37615,11,2024-02-09,
NA-6,Lower Dir-I,307,253972,203103,457075,109850,58836,168686,164184,4502,36.91,Muhammad Bashir Khan,Independent,81060,Siraj-ul-Haq,JIP,56538,11,2024-02-09,
NA-9,Malakand,348,254116,214335,468451,126583,75292,201875,196146,5729,43.09,Junaid Akbar,Independent,113513,Syed Ahmad Ali Shah,PPPP,40740,15,2024-02-09,
NA-10,Buner,397,302606,259646,562252,150155,59568,209723,201230,8493,37.3,Gohar Ali Khan,Independent,110023,Abdul Rauf,ANP,30302,8,2024-02-09,
NA-11,Shangla,346,247099,218503,465602,114830,37023,151853,146110,5743,32.61,Amir Muqam,PML-N,59863,Syed Fareen,Independent,54311,16,,illegible:form_date
NA-13,Battagram,278,179563,149339,328902,76048,17604,93652,90231,3421,28.47,Muhammad Nawaz Khan,Independent,32164,Muhammad Yousaf,JUI,21291,11,2024-02-09,
NA-15,Mansehra-cum-Torghar,550,344125,300924,645049,140288,107312,247600,238518,9082,38.38,Shahzada Muhammad Gushtasip Khan,Independent,105249,Muhammad Nawaz Sharif,PML-N,80382,15,2024-02-09,
NA-17,Abbottabad-II,324,207828,190367,398195,100723,75942,176665,172663,4002,44.37,Ali Khan Jadoon,Independent,97177,Mohabbat Khan,PML-N,44522,11,2024-02-09,
NA-18,Haripur,604,379500,345415,724915,201304,160315,361619,349897,11722,49.88,Umar Ayub Khan,Independent,192948,Babar Nawaz Khan,PML-N,112389,16,2024-02-09,
NA-23,Mardan-III,317,253199,204915,458114,128210,74888,203098,198031,5067,44.33,Ali Muhammad,Independent,102175,Ahmad Khan,ANP,33910,11,2024-02-09,
NA-24,Charsadda-I,354,280438,223832,504270,135216,63387,198603,193308,5295,39.38,Anwar Taj,Independent,89801,Gohar Ali,JUI,48545,9,2024-02-09,
NA-25,Charsadda-II,392,305911,256487,562398,150799,73730,224529,219077,5452,39.92,Fazal Muhammad Khan,Independent,100713,Aimal Wali Khan,ANP,67876,13,2024-02-09,
NA-26,Mohmand,194,206785,152260,359045,71800,26097,97897,93757,4140,27.27,Sajid Khan,Independent,41489,Muhammad Arif,JUI,19930,12,2024-02-09,
NA-27,Khyber,342,347686,288663,636349,108661,30910,139571,135401,4170,21.93,Muhammad Iqbal Khan,Independent,85514,Shandi Gul Afridi,PML-N,18832,14,2024-02-09,
NA-28,Peshawar-I,265,219835,176210,396045,158130,87672,245802,241123,4679,62.06,Noor Alam Khan,JUI,138389,Sajid Nawaz,Independent,65119,13,2024-02-09,
NA-29,Peshawar-II,201,176312,142462,318774,87489,39118,126607,122708,3899,39.72,Arbab Amir Ayub,Independent,68792,Saqibullah Khan,ANP,18888,14,2024-02-09,
NA-30,Peshawar-III,267,225785,178837,404622,99658,37104,136762,131994,4768,33.8,Shandana Gulzar Khan,Independent,78971,Nasir Khan,JUI,20950,15,2024-02-09,
NA-31,Peshawar-IV,246,218059,181219,399278,100504,45688,146192,143078,3114,36.61,Sher Ali Arbab,Independent,82985,Arbab Alamgir Khan,PPPP,22543,21,09 Feb 2024,
NA-32,Peshawar-V,301,325420,263553,588973,156118,69927,226045,220490,5555,38.38,Asif Khan,Independent,122792,Haji Ghulam Ahmad Bilour,ANP,45846,25,09 Feb 2024,
NA-33,Nowshera-I,319,238365,205977,444342,126700,75839,202539,196833,5706,45.58,Syed Shah Ahad Ali Shah,Independent,93429,Pervez Khattak,PTI-P,26574,12,09 Feb 2024,
NA-34,Nowshera-II,309,243820,208925,452745,131815,81539,213354,208095,5259,47.12,Zulfiqar Ali,Independent,95692,Imran Khattak,PTI-P,32698,18,09 Feb 2024,
NA-35,Kohat,491,361031,305208,666239,155415,92378,247793,242064,5729,37.19,Shehryar Afridi,Independent,128491,Abbas Afridi,PML-N,57184,18,,illegible:form_date
NA-36,Hangu-cum-Orakzai,386,308316,247744,556060,94704,42220,136924,133184,3740,24.62,Yousaf Khan,Independent,73076,Ubaidullah,JUI,34324,19,09 Feb 2024,
NA-37,Kurram,289,227910,187627,415537,91849,64667,156516,153220,3296,37.67,Hamid Hussain,MWM,58650,Sajid Hussain Turi,PPPP,54384,34,09 Feb 2024,multipage
NA-38,Karak,374,258285,228469,486754,125278,93380,218658,214177,4481,44.92,Shahid Ahmed,Independent,117887,Shah Abdul Aziz,JUI,40761,31,10 Feb 2024,
NA-39,Bannu,524,392105,331354,723459,192992,92275,285267,277991,7276,39.43,Naseem Ali Shah,Independent,147087,Zahid Akram Durrani,JUI,110675,19,09 Feb 2024,
NA-40,North Waziristan,263,249291,181193,430484,95778,47520,143298,141461,1837,33.29,Misbahuddin,JUI,42994,Aurangzeb Khan,Independent,33852,15,10 Feb 2024,
NA-41,Lakki Marwat,409,277583,239162,516745,146057,103000,249057,241969,7088,48.10,Sher Afzal Khan,Independent,117988,Asjad Mehmood,JUI,68303,39,,illegible:form_date
NA-42,South Waziristan Upper-cum-South Waziristan Lower,276,276426,190866,467292,58742,17588,76330,73598,2732,16.33,Zubair Khan,Independent,20022,Muhammad Ali,Independent,16194,29,09 Feb 2024,
NA-43,Tank-cum-D.I. Khan,348,214789,177425,392214,104867,65029,169896,164839,5057,43.32,Dawar Khan Kundi,Independent,63556,Asad Mahmood,JUI,62730,22,10 Feb 2024,
NA-44,D.I. Khan-I,358,208481,183401,391882,129791,87745,217536,210736,6800,55.51,Ali Amin Khan,Independent,93443,Fazlur Rehman,JUI,59922,20,09 Feb 2024,
NA-45,D.I. Khan-II,307,174261,146212,320473,103320,56847,160167,152117,8050,49.98,Fatehullah Khan,PPPP,56933,Ubaid ur Rehman,JUI,48343,12,09 Feb 2024,
NA-46,ICT-I Islamabad,342,183925,166656,350581,,,149586,148783,803,43,Anjum Aqeel Khan,PML-N,81958,Aamir Masood,Independent,44317,43,09-02-2024,"illegible:polled_male,illegible:polled_female"
NA-47,Islamabad-II,387,227175,206025,433200,142995,109921,252916,251867,1049,58.38,Tariq Fazal Chaudhry,PML-N,101397,Muhammad Shoaib Shaheen,Independent,86794,34,10 Feb 2024,
NA-48,Islamabad-III,261,157305,141942,299247,100264,82589,182853,181642,1211,61.10,Raja Khurram Shahzad Nawaz,Independent,69699,Syed Muhammad Ali Bukhari,Independent,59851,36,09 Feb 2024,multipage
NA-49,Attock-I,461,334246,306643,640889,,151174,322642,317451,5191,50.34,Sheikh Aftab Ahmed,PML-N,119727,Tahir Sadiq,Independent,110230,12,09 Feb 2024,illegible:polled_male
NA-50,Attock-II,556,,,708131,,,425852,415913,9939,54,Malik Sohail Khan,PML-N,119075,Eman Waseem,Independent,109189,20,09.2.2024,"illegible:reg_male,illegible:reg_female,illegible:polled_male,illegible:polled_female"
NA-51,Murree-cum-Rawalpindi,559,351287,329949,681236,191874,165727,357601,349119,8482,52.49,Raja Osama Sarwar,PML-N,149250,Muhammad Latasab Satti,Independent,113843,27,2024-02-09,
NA-52,Rawalpindi-I,541,341743,324473,666216,173862,162454,336316,328083,8233,50.48,Raja Pervaiz Ashraf,PPPP,112265,Tariq Aziz Bhatti,Independent,91547,19,2024-02-09,
NA-53,Rawalpindi-II,329,207590,193786,401376,114713,98303,213016,207835,5181,53.07,Raja Qamar-ul-Islam,PML-N,72006,Ajmal Sabir Raja,Independent,58476,21,2024-02-09,
NA-54,Rawalpindi-III,344,241350,224994,466344,132923,102925,235848,230624,5224,50.57,Aqeel Malik,Independent,85912,Tahir Masood,Independent,73694,30,2024-02-09,
NA-55,Rawalpindi-IV,311,221049,210783,431832,125839,113006,238845,235035,3810,55.31,Ibrar Ahmed,PML-N,112343,Muhammad Basharat Raja,Independent,96787,30,2024-02-11,
NA-56,Rawalpindi-V,371,272459,251274,523733,128004,91144,219148,214992,4156,41.84,Muhammad Hanif Abbasi,PML-N,96649,Shehryar Riaz,Independent,82613,30,09.02.2024,
NA-57,Rawalpindi-VI,326,222434,209077,431511,105041,77370,182411,179289,3122,42.20,Daniyal Chaudhry,PML-N,83331,Seemabia Tahir,Independent,56789,26,09/02/2024,
NA-58,Chakwal-I,459,300407,293602,594009,192669,175899,368568,366325,2243,62.05,Tahir Iqbal,PML-N,115974,Ayaz Amir,Independent,102537,19,09.02.2024,
NA-59,Talagang-cum-Chakwal,467,309180,298660,607840,245082,110504,355586,331039,24547,58.49,Sardar Ghulam Abbas,PML-N,141680,Roman Ahmad,Independent,129716,21,09/02/2024,
NA-60,Jhelum-I,386,274745,264152,538897,121525,116020,237545,231836,5709,44.08,Bilal Azhar Kayani,PML-N,99948,Hassan Adeel,Independent,90474,18,09-02-2024,
NA-61,Jhelum-II,380,269016,248567,517583,129990,116092,246082,236423,9659,47.54,Chaudhry Farrukh Altaf,PML-N,88038,Shaukat Iqbal Mirza,Independent,84584,13,10 Feb 2024,
NA-62,Gujrat-I,348,276123,256229,532352,127701,101469,229170,228805,5346,43.98,Muhammad Ilyas Chaudhry,Independent,97436,Chaudhry Abid Raza,PML-N,71154,26,10-Feb-24,valid+rej!=polled
NA-63,Gujrat-II,358,280812,247147,527959,141035,128090,269125,265331,5631,51.32,Hussain Elahi,PML,88069,Sajid Yousaf,Independent,81640,14,09-02-2024,valid+rej!=polled
NA-64,Gujrat-III,359,290657,260967,551624,,,223898,223082,816,40,Chaudhry Salik Hussain,PML,105205,Qaisara Elahi,Independent,80946,18,,"illegible:polled_male,illegible:polled_female,illegible:form_date"
NA-65,Gujrat-IV,414,310662,275591,586253,156573,130904,287477,277854,9092,48.95,Chaudhry Naseer Ahmed Abbas,PML-N,90982,Syed Wajahat Hussain Shah,Independent,82411,20,9/2/2024,valid+rej!=polled
NA-66,Wazirabad,396,346741,300131,646872,172665,140832,313497,304248,9249,48.46,Muhammad Ahmad Chattha,Independent,160676,Nisar Ahmad Cheema,PML-N,100633,27,9 Feb 2024,
NA-67,Hafizabad,619,439770,370953,810723,264084,198155,462239,448862,13377,57.02,Aniqa Mehdi,Independent,211039,Saira Tarar,PML-N,183946,22,10 Feb 2024,
NA-68,Mandi Bahauddin-I,385,325060,288121,613181,167318,139354,306672,297621,9051,50.01,Haji Imtiaz Ahmed Chaudhry,Independent,166093,Mushahid Raza,PML-N,70926,24,09-02-2024,
NA-69,Mandi Bahauddin-II,377,325897,276004,601901,176185,122814,298999,287271,11609,49.66,Nasir Iqbal Bosal,PML-N,113285,Kausar Parveen,Independent,108768,20,09/02/24,valid+rej!=polled
NA-70,Sialkot-I,363,301530,254222,555752,161910,130415,292325,285249,7076,52.6,Chaudhry Armaghan Subhani,PML-N,123437,Hafiz Hamid Raza,Independent,112117,24,09 Feb 2024,
NA-71,Sialkot-II,358,305133,272148,577281,148466,103618,252084,245451,6633,43.67,Khawaja Muhammad Asif,PML-N,119001,Rehana Imtiaz Dar,Independent,100482,18,2024-02-09,
NA-72,Sialkot-III,385,320186,268834,589020,168277,129293,297570,290327,7243,50.52,Ali Zahid,PML-N,109657,Chaudhry Amjad Ali Bajwa,Independent,102527,23,2024-02-10,
NA-73,Sialkot-IV,351,287754,247044,534798,148736,110175,258911,253726,5185,48.41,Nosheen Iftikhar,PML-N,112143,Ali Asjad Malhi,Independent,104067,26,2024-02-09,
NA-74,Sialkot-V,352,289189,250204,539393,150502,122734,273236,267518,5718,50.66,Muhammad Aslam Ghumman,Independent,130504,Rana Shamim Ahmed Khan,PML-N,95988,18,2024-02-09,
NA-75,Narowal-I,415,341939,286921,628860,178846,145379,324225,314394,9831,51.56,Anwar-ul-Haq Chaudhry,PML-N,99625,Tahir Ali Javed,Independent,75626,20,2024-02-09,
NA-76,Narowal-II,414,329024,280256,609280,173793,132493,306286,299826,6460,50.27,Ahsan Iqbal Chaudhry,PML-N,136279,Javed Safdar Kahloon,Independent,109309,20,2024-02-09,
NA-77,Gujranwala-I,321,263856,219248,483104,148961,100188,249149,241513,7636,51.57,Chaudhry Mehmood Bashir Virk,PML-N,106451,Rashida Tariq,Independent,91812,25,2024-02-09,
NA-78,Gujranwala-II,319,308306,263257,571563,146730,92449,239179,233746,5433,41.85,Muhammad Mobeen Arif,Independent,106483,Khurram Dastgir Khan,PML-N,89465,35,2024-02-09,
NA-79,Gujranwala-III,326,329205,269934,599139,179975,123303,303278,293978,9300,50.62,Ehsanullah Virk,Independent,104023,Zulfiqar Ahmed,PML-N,99635,29,2024-02-09,
NA-80,Gujranwala-IV,383,327739,273458,601197,151056,88538,239594,234327,5267,39.85,Shahid Usman,PML-N,98160,Lala Asadullah,Independent,95007,34,2024-02-09,
NA-81,Gujranwala-V,338,289939,236185,526124,162319,115952,273724,266622,7102,52.02651846,Ch. Bilal Ejaz,Independent,117717,Azhar Qayyum Nahra,PML-N,109926,17,2024-02-09,polled_m+f!=polled_total
NA-82,Sargodha-I,360,298879,264237,563116,163164,130135,293299,284402,8897,52.09,Mukhtar Ahmed Malik,PML-N,108714,Nadeem Afzal Gondal,PPPP,87349,11,2024-02-09,
NA-83,Sargodha-II,328,283841,244713,528554,163728,114025,277753,268068,9685,52.55,Usama Ahmed Mela,Independent,136566,Mohsin Nawaz Ranjha,PML-N,98700,11,2024-02-09,
NA-84,Sargodha-III,344,279393,251292,530685,142106,100610,242716,236454,6262,45.74,Shafqat Abbas,Independent,101944,Liaqat Ali Khan,PML-N,77477,25,2024-02-09,
NA-85,Sargodha-IV,323,269810,237406,507216,158412,119311,277723,271104,6619,54.75,Zulfiqar Ali Bhatti,PML-N,121001,Khudadad,Independent,111135,20,2024-02-10,
NA-86,Sargodha-V,343,285571,253557,539128,152799,121250,274049,260812,13237,50.83,Muhammad Miqdad Ali Khan,Independent,105868,Syed Javed Hasnain,PML-N,94479,15,2024-02-09,
NA-87,Khushab-I,345,251900,237979,489879,,,271355,269553,1802,55.39,Malik Shakir Bashir Awan,PML-N,117773,Umar Aslam Khan,Independent,108308,11,2024-02-09,"illegible:polled_male,illegible:polled_female"
NA-88,Khushab-II,331,236055,215252,451307,,,281919,273506,8413,62.47,Gul Asghar Khan,IPP,82577,Muhammad Muazzam Sher,Independent,64156,13,2024-02-15,"illegible:polled_male,illegible:polled_female"
NA-89,Mianwali-I,419,296652,268785,565437,169220,138867,308087,300394,7693,54.49,Muhammad Jamal Ahsan Khan,Independent,217427,Obaidullah Khan,PML-N,34068,17,2024-02-09,
NA-90,Mianwali-II,369,263637,239448,503085,166982,125825,292807,284580,8227,58.2,Umair Khan Niazi,Independent,179820,Muhammad Humair Hayat Khan Niazi,PML-N,51223,16,2024-02-09,
NA-91,Bhakkar-I,375,269470,239948,509418,183294,137276,320570,307057,13513,62.93%,Muhammad Sanaullah Khan Masti Khel,Independent,106003,Abdul Majeed Khan,PML-N,85429,17,09 Feb 2024,
NA-92,Bhakkar-II,392,281776,251490,533266,200833,158475,359308,347558,11750,67.38%,Rasheed Akbar Khan,Independent,142761,Muhammad Afzal Khan,Independent,131176,14,09 Feb 2024,
NA-93,Chiniot-I,313,230867,206174,437041,135738,102225,237963,228744,9219,54.45%,Ghulam Muhammad,Independent,94355,Ghulam Abbas,Independent,59901,14,09 Feb 2024,
NA-94,Chiniot-II,303,237953,209585,447538,148229,107866,256095,248293,7802,57.22%,Qaiser Ahmed Sheikh,PML-N,79546,Muhammad Khalid,Independent,72274,21,09 Feb 2024,
NA-95,Faisalabad-I,323,277868,236773,514641,166567,118607,285174,278347,6827,55.41%,Ali Afzal Sahi,Independent,144761,Azad Ali Tabassum,PML-N,93938,25,09 Feb 2024,
NA-96,Faisalabad-II,345,302469,260422,562891,167733,113041,280774,274676,6098,49.88%,Rai Haider Ali Khan,Independent,134485,Nawab Sher,PML-N,92504,24,09 Feb 2024,
NA-97,Faisalabad-III,341,272265,219438,491703,148749,102858,251607,242133,9474,51.17%,Muhammad Saadullah,Independent,72614,Ali Gohar Khan,PML-N,70311,22,09 Feb 2024,
NA-98,Faisalabad-IV,378,312431,267026,579457,167983,126313,294296,285585,8711,50.79%,Chaudhry Muhammad Shahbaz Babar,PML-N,119443,Mumtaz Ahmed,Independent,105434,20,09 Feb 2024,
NA-99,Faisalabad-V,392,265019,226418,491437,151436,107704,259140,249487,9653,52.73%,Umar Farooq,Independent,120686,Muhammad Qasim Farooq,PML-N,80377,25,09 Feb 2024,
NA-100,Faisalabad-VI,377,274365,233515,507880,166194,114433,280627,275022,5605,55.25%,Nisar Ahmed,Independent,131941,Rana Sanaullah Khan,PML-N,112639,15,09 Feb 2024,
