year,seat,constituency,province,recorded_winner,party,winner_votes,winner_vote_share_pct,registered_voters,turnout_pct,margin_pp,candidate_count
1985,NA-1,Peshawar,Khyber Pakhtunkhwa,Haji Mohammad Unis Elahi,Independent,26815,48.2,,,7.7,4
1985,NA-2,Peshawar,Khyber Pakhtunkhwa,Muhammad Saleem Khan,Independent,38189,61.9,,,23.9,2
1985,NA-3,Peshawar,Khyber Pakhtunkhwa,Hameed Khan,Independent,13165,20.6,,,3.3,9
1985,NA-4,Peshawar,Khyber Pakhtunkhwa,Moulana Abdul Haq,Independent,45709,69.3,,,53.6,3
1985,NA-5,Peshawar,Khyber Pakhtunkhwa,Muhammad Aslam,Independent,,,,,,1
1985,NA-6,Mardan,Khyber Pakhtunkhwa,Nawabzada Abdul Ghafoor Khan Hooti,Independent,18112,42.6,,,27.2,6
1985,NA-7,Mardan,Khyber Pakhtunkhwa,Molana Gauhar Rahman,Independent,14063,28.1,,,6.9,7
1985,NA-8,Mardan,Khyber Pakhtunkhwa,Fazal Daad Khan,Independent,12162,26.4,,,9.0,8
1985,NA-9,Mardan,Khyber Pakhtunkhwa,Yaqoob Khan Jadoon,Independent,8353,17.3,,,1.8,9
1985,NA-10,Kohat,Khyber Pakhtunkhwa,Haji Nadir Shah,Independent,20120,41.0,,,22.7,8
1985,NA-11,Kohat Karak,Khyber Pakhtunkhwa,Muhammad Aslam Khan Khattak,Independent,29065,47.1,,,12.1,4
1985,NA-12,Abbottabad,Khyber Pakhtunkhwa,Amanullah Khan Jadoon,Independent,39770,46.9,,,8.9,6
1985,NA-13,Abbottabad,Khyber Pakhtunkhwa,Javed Iqbal Abbasi,Independent,31750,34.6,,,4.1,4
1985,NA-14,Abbottabad,Khyber Pakhtunkhwa,Gohar Ayub Khan,Independent,48828,50.7,,,4.6,3
1985,NA-15,Mansehra,Khyber Pakhtunkhwa,Syed Qasim Shah,Independent,54936,62.8,,,34.5,4
1985,NA-16,Mansehra,Khyber Pakhtunkhwa,Nawabzada Salahuddin Saeed,Independent,14709,34.6,,,5.0,6
1985,NA-17,Mansehra Kohistan,Khyber Pakhtunkhwa,Muhammad Ayub Khan,Independent,17755,34.3,,,10.4,10
1985,NA-18,Dera Ismail Khan,Khyber Pakhtunkhwa,Pir Mohammad Sabir Shah,Independent,66750,51.0,,,11.4,6
1985,NA-19,Bannu,Khyber Pakhtunkhwa,Khuda Dad Khan,Independent,19881,34.3,,,7.2,7
1985,NA-20,Bannu,Khyber Pakhtunkhwa,Ghulam Uddin Khan Marwat,Independent,40339,52.1,,,8.8,5
1985,NA-21,Swat,Khyber Pakhtunkhwa,Miangul Aurangzeb,Independent,32434,55.0,,,30.1,3
1985,NA-22,Swat,Khyber Pakhtunkhwa,Fazl-e-Raziq,Independent,20568,38.0,,,6.3,7
1985,NA-23,Swat,Khyber Pakhtunkhwa,Fateh Muhammad Khan,Independent,20101,36.2,,,3.4,5
1985,NA-24,Chitral,Khyber Pakhtunkhwa,Shahzada Mohiuddin,Independent,26707,54.0,,,8.0,2
1985,NA-25,Malakand Dir,Khyber Pakhtunkhwa,Maulana Muhammad Inayat-ur-Rehman,Independent,25950,45.0,,,18.1,5
1985,NA-26,Dir,Khyber Pakhtunkhwa,Sahibzada Fatehullah,Independent,31166,52.1,,,7.0,3
1985,NA-27,Trial Area,FATA,Malik Fazal e Manan Mohmand,Independent,2022,33.9,,,7.5,13
1985,NA-28,Trial Area,FATA,Umer Din Bangash,Independent,830,100.0,,,,1
1985,NA-29,Trial Area,FATA,Malik Haji Khial Shah,Independent,2253,37.1,,,6.6,8
1985,NA-30,North Waziristan Trial Area,FATA,Malik Jahangir Khan,Independent,838,97.8,,,95.6,2
1985,NA-31,Trial Area,FATA,Malik Said Khan Mehsud,Independent,,,,,,1
1985,NA-32,Trial Area,FATA,Abdus Subhan Khan,Independent,1769,34.1,,,4.9,15
1985,NA-33,Trial Area,FATA,Haji Gul Sher Khan,Independent,1096,50.0,,,16.3,12
