year,seat,constituency,province,recorded_winner,party,winner_votes,winner_vote_share_pct,registered_voters,turnout_pct,margin_pp,candidate_count
2018,NA-1,Chitral,Khyber Paktunkhwa,Moulana Abdul Akbar Chitrali,Muttahida Majlis-e-Amal Pakistan,49035,30.7,269579,61.4,6.4,11
2018,NA-2,Swat-I,Khyber Paktunkhwa,Haider Ali Khan,Pakistan Tehreek-e-Insaf,61834,39.2,382974,43.5,13.0,10
2018,NA-3,Swat-II,Khyber Paktunkhwa,Saleem Rehman,Pakistan Tehreek-e-Insaf,68280,43.9,401124,40.5,29.2,8
2018,NA-4,Swat-Ill,Khyber Paktunkhwa,Murad Saeed,Pakistan Tehreek-e-Insaf,71663,46.4,409012,39.4,26.2,11
2018,NA-5,Upper Dir,Khyber Paktunkhwa,SAHIBZADA SIBGHATULLAH,Pakistan Tehreek-e-Insaf,66654,31.9,447414,48.5,4.0,10
2018,NA-6,Lower Dir-I,Khyber Paktunkhwa,Mehboob Shah,Pakistan Tehreek-e-Insaf,63717,37.6,351245,49.6,15.4,8
2018,NA-7,Lower Dir-II,Khyber Paktunkhwa,Muhammad Bashir Khan,Pakistan Tehreek-e-Insaf,63071,44.1,330592,44.6,11.3,8
2018,NA-8,Malakand,Khyber Paktunkhwa,Junaid Akbar,Pakistan Tehreek-e-Insaf,81788,44.9,386449,48.6,20.7,13
2018,NA-9,Buner,Khyber Paktunkhwa,SHER AKBAR KHAN,Pakistan Tehreek-e-Insaf,58317,33.2,445474,41.4,10.9,7
2018,NA-10,Shangla,Khyber Paktunkhwa,Ibadullah Khan,Pakistan Muslim League (N),35178,27.9,374343,35.0,1.2,9
2018,NA-11,Kohistan-cum-Lower Kolai Pallas Kohistan,Khyber Paktunkhwa,Afreen Khan,Muttahida Majlis-e-Amal Pakistan,16480,26.0,154620,42.1,3.1,17
2018,NA-12,Battagram,Khyber Paktunkhwa,Muhammad Nawaz Khan,Pakistan Tehreek-e-Insaf,35120,39.0,258155,36.2,12.0,8
2018,NA-13,Mansehra-I,Khyber Paktunkhwa,Saleh Muhammad,Independent,108950,43.1,526974,49.9,0.7,14
2018,NA-14,Mansehra-cum-Torghar,Khyber Paktunkhwa,Muhammad Sajjad,Pakistan Muslim League (N),75220,36.7,510931,41.7,7.5,10
2018,NA-15,Abbottabad-I,Khyber Paktunkhwa,Murtaza Javed Abbasi,Pakistan Muslim League (N),95348,40.7,478336,50.7,5.7,13
