na,candidate_name,party,votes,rank
NA-112,Dr. Shizra Mansab Ali Khan Kharal,PML-N,105646,1
NA-112,Ijaz Ahmad Shah,Independent,93329,2
NA-112,Rai Abrar Ahmed Siddiqui,TLP,20895,3
NA-112,Rai Shahjahan Ahmad Khan Bhatti,PPP,13452,4
NA-112,Muhammad Ahsan,Independent,7678,5
NA-112,Shahid Manzoor,Independent,1102,6
NA-112,Rashid Farooq,JIP,892,7
NA-112,Syed Izhar Ul Hassan,Independent,384,8
NA-112,Rana Falak Shair Sikandar,PTI-N,303,9
NA-112,Rana Muhammad Zulqarnain Khan,Independent,278,10
NA-112,Tauseef Ahmad Rai,Independent,224,11
NA-112,Agha Muhammad Ali Khan,MQM,164,12
NA-112,Rai Muhammad Aslam Khan,Independent,67,13
NA-112,Saeed Ahmad Zafar,Independent,50,14
